iter	Logloss
0	0.6884663288
1	0.6839106108
2	0.6802898347
3	0.6763478375
4	0.6723506109
5	0.6686016101
6	0.6643342251
7	0.6611942058
8	0.6581762569
9	0.6547914792
10	0.6513045255
11	0.6476989761
12	0.6439875033
13	0.6403912076
14	0.6364901794
15	0.6320066024
16	0.6291248403
17	0.6249357202
18	0.6216121427
19	0.6190553608
20	0.6152493196
21	0.612519595
22	0.6100756947
23	0.6072346547
24	0.6040834145
25	0.6016943992
26	0.5986075049
27	0.5951820426
28	0.5917260698
29	0.5883759425
30	0.5859312351
31	0.5829832469
32	0.5801273381
33	0.5774798439
34	0.5748102423
35	0.5719683931
36	0.5693915415
37	0.5663491773
38	0.5637149082
39	0.5605115476
40	0.5579821555
41	0.5559884509
42	0.5536956777
43	0.5504660949
44	0.5489489079
45	0.5458163161
46	0.5431253189
47	0.5405442171
48	0.5382065599
49	0.5355436354
50	0.5329946999
51	0.5303504264
52	0.5279255996
53	0.5259866689
54	0.5229538564
55	0.5209889326
56	0.5179954591
57	0.5153754616
58	0.5145947784
59	0.5125199896
60	0.5098439446
61	0.5073025481
62	0.5049281285
63	0.5031627173
64	0.5010704437
65	0.499019178
66	0.4966673435
67	0.4945526189
68	0.492361464
69	0.4909408642
70	0.4893344275
71	0.4868932341
72	0.4856828088
73	0.4837960998
74	0.4816279075
75	0.4793354436
76	0.4772358412
77	0.476268496
78	0.474449035
79	0.4726446137
80	0.4704943716
81	0.4692665244
82	0.4678070986
83	0.4656176581
84	0.4644310008
85	0.4626298161
86	0.4610662343
87	0.458927451
88	0.4576163389
89	0.4554808654
90	0.4540279541
91	0.4520801362
92	0.4508584602
93	0.4492870639
94	0.447284375
95	0.4461368833
96	0.4448978787
97	0.4435984595
98	0.442217134
99	0.4404113106
100	0.439796969
101	0.4380531416
102	0.4364598726
103	0.4347427421
104	0.4331590742
105	0.4314928162
106	0.4298928573
107	0.428420279
108	0.4269379305
109	0.4258435729
110	0.4243841912
111	0.4235800234
112	0.4223695522
113	0.4213474529
114	0.4203673919
115	0.4188345845
116	0.4174509291
117	0.4161688343
118	0.415274876
119	0.4143142718
120	0.4133869856
121	0.4119792032
122	0.4103608574
123	0.4091708588
124	0.4078140211
125	0.4067288504
126	0.4052830034
127	0.4040678998
128	0.4034731289
129	0.4028857328
130	0.4022460355
131	0.4006503728
132	0.3994020076
133	0.3978558679
134	0.3968885019
135	0.3957706277
136	0.3944169264
137	0.3936727952
138	0.3922142351
139	0.3915939916
140	0.3912481995
141	0.390509018
142	0.3893468188
143	0.3884181738
144	0.3876015358
145	0.3868980606
146	0.3860863526
147	0.3849371619
148	0.3841330161
149	0.3831703168
150	0.3823979098
151	0.3816097979
152	0.3805149552
153	0.3795206331
154	0.3782444968
155	0.3770887927
156	0.3760436855
157	0.3753693223
158	0.3749475314
159	0.3738175754
160	0.3731943421
161	0.3723752529
162	0.3718564026
163	0.3709263921
164	0.3697584965
165	0.3695505744
166	0.3687979814
167	0.3676058439
168	0.3667237936
169	0.3661067695
170	0.3654626547
171	0.3650611214
172	0.3639128592
173	0.3634526081
174	0.3622478
175	0.3613449779
176	0.360627675
177	0.3597594408
178	0.3589685326
179	0.3583242787
180	0.357762865
181	0.3566176511
182	0.3559581727
183	0.3548852718
184	0.3547540747
185	0.3540248076
186	0.3534247936
187	0.3531530165
188	0.3523009789
189	0.3515008558
190	0.3509172035
191	0.3499813718
192	0.3494944412
193	0.3487070573
194	0.3482122931
195	0.3473796783
196	0.3469925832
197	0.3461793825
198	0.3455296145
199	0.3445731293
200	0.3442584369
201	0.3438542455
202	0.3429744852
203	0.341964258
204	0.3409817013
205	0.3404092456
206	0.3395484665
207	0.3388855811
208	0.3381142626
209	0.33768653
210	0.33732338
211	0.337204697
212	0.3366299954
213	0.3364054404
214	0.3358244716
215	0.3355952498
216	0.3350726581
217	0.3347218818
218	0.3338943336
219	0.3332675153
220	0.3327409328
221	0.3320752019
222	0.3317423803
223	0.3316091414
224	0.3310066421
225	0.3302538413
226	0.3296839232
227	0.3288792492
228	0.3283742014
229	0.3280718453
230	0.3273537561
231	0.3267878774
232	0.3266903693
233	0.3265133124
234	0.3259156684
235	0.3256266405
236	0.3249740019
237	0.3245973604
238	0.3239067932
239	0.3232754706
240	0.3226186563
241	0.3219975969
242	0.3216705038
243	0.3213920075
244	0.32106861
245	0.3203276372
246	0.320227334
247	0.3195292478
248	0.3190952885
249	0.3185052402
250	0.318029955
251	0.3173625095
252	0.3169587518
253	0.3165725433
254	0.3159303701
255	0.3155646417
256	0.3148809015
257	0.3145233741
258	0.3144206613
259	0.3140605138
260	0.3137162547
261	0.3131607922
262	0.3129189727
263	0.3125362263
264	0.3122899896
265	0.3122504121
266	0.3118769391
267	0.3113336503
268	0.3109691717
269	0.3102955299
270	0.3098877841
271	0.3095369753
272	0.3090908356
273	0.3087407633
274	0.3082802483
275	0.307903748
276	0.307397401
277	0.3071316493
278	0.3066180189
279	0.3062774338
280	0.3056970824
281	0.3052066936
282	0.3046532448
283	0.304420146
284	0.3037555224
285	0.3034768365
286	0.3028624952
287	0.302695829
288	0.3025155992
289	0.3019271828
290	0.301560438
291	0.3012152556
292	0.3009351231
293	0.300725181
294	0.3004816564
295	0.3002906724
296	0.3000827942
297	0.2998056575
298	0.2992967433
299	0.2992561222
300	0.2987244625
301	0.2981322413
302	0.2980076043
303	0.2973710056
304	0.2972170792
305	0.2968651107
306	0.2965733895
307	0.2961413108
308	0.2960083074
309	0.2956604375
310	0.2949788826
311	0.2948201449
312	0.2944592912
313	0.2943527574
314	0.2939725058
315	0.293689717
316	0.2935249634
317	0.2933688031
318	0.2928807568
319	0.2924886719
320	0.2923456789
321	0.2918002036
322	0.2913864183
323	0.2908729245
324	0.2903303271
325	0.2899123025
326	0.2898346038
327	0.2895826906
328	0.2894156346
329	0.2890000809
330	0.2884751389
331	0.2879848659
332	0.2877651636
333	0.2875428673
334	0.2873616369
335	0.2871548281
336	0.2867340432
337	0.2865461583
338	0.2862868421
339	0.2858386741
340	0.2853354001
341	0.2851327829
342	0.2849265981
343	0.2848760385
344	0.2847350604
345	0.2846117092
346	0.2843388016
347	0.2841096283
348	0.2838612952
349	0.2836531096
350	0.2834036015
351	0.2831322054
352	0.2828807591
353	0.2825161957
354	0.2821674236
355	0.2820089711
356	0.2819254813
357	0.2817329235
358	0.2812821688
359	0.2810415017
360	0.280776206
361	0.2804837525
362	0.2802394191
363	0.2796902651
364	0.2794805178
365	0.2792431237
366	0.2788764614
367	0.2786596794
368	0.2782280398
369	0.278164744
370	0.278030859
371	0.2775778898
372	0.2772937876
373	0.2770508573
374	0.2766643668
375	0.2765270164
376	0.2762075866
377	0.2760224674
378	0.2757432725
379	0.2755556706
380	0.2753894774
381	0.2752045209
382	0.2749746345
383	0.2745904449
384	0.2743152316
385	0.2742601008
386	0.2740468688
387	0.2737364303
388	0.2734667718
389	0.2732757688
390	0.2728945305
391	0.2728461357
392	0.2723644425
393	0.2719846284
394	0.2717823614
395	0.2717025424
396	0.2714697058
397	0.2713223243
398	0.2711344773
399	0.2710382509
400	0.2708300181
401	0.2706836108
402	0.2705345256
403	0.2702679306
404	0.2698287142
405	0.2696096975
406	0.2695333227
407	0.2694134752
408	0.26911999
409	0.2689496058
410	0.2688441206
411	0.2686789713
412	0.2684388484
413	0.2684080118
414	0.2682468014
415	0.267923588
416	0.2676081158
417	0.2674569673
418	0.2670842626
419	0.2669416521
420	0.2667010212
421	0.2665516012
422	0.2662214581
423	0.2658572394
424	0.2657726947
425	0.2656653458
426	0.2654651855
427	0.2651411563
428	0.2651155829
429	0.264808013
430	0.2646773976
431	0.2646118724
432	0.2644401277
433	0.264195757
434	0.264087533
435	0.263805745
436	0.2635968441
437	0.2635069862
438	0.2634865496
439	0.2633562994
440	0.2632037937
441	0.2631835112
442	0.2630514197
443	0.2629395638
444	0.2628352732
445	0.2627934496
446	0.2627033858
447	0.262607233
448	0.2624490539
449	0.2623072347
450	0.2620248869
451	0.2618687991
452	0.2617367726
453	0.2616266353
454	0.2615124156
455	0.2611542484
456	0.2610677144
457	0.2609551286
458	0.2606665783
459	0.2603817903
460	0.2601867274
461	0.2600849905
462	0.2598232523
463	0.2597035978
464	0.2594467281
465	0.2592593062
466	0.2591188616
467	0.2589332345
468	0.2586422607
469	0.2582831633
470	0.2579484226
471	0.2578448673
472	0.2577760618
473	0.2577151754
474	0.2576071427
475	0.2573649796
476	0.2571613842
477	0.2569265597
478	0.2568575977
479	0.256675192
480	0.2562616216
481	0.2560884908
482	0.2559355632
483	0.2558616454
484	0.2557692705
485	0.255677912
486	0.255475243
487	0.2554144429
488	0.2550725078
489	0.2548785925
490	0.2547761516
491	0.25467365
492	0.2546402719
493	0.2543808113
494	0.2542612563
495	0.2540594293
496	0.254014172
497	0.253884592
498	0.2537956282
499	0.2536789346
500	0.253511504
501	0.2531024215
502	0.2530518046
503	0.2528618523
504	0.2527109507
505	0.2526480033
506	0.2526045627
507	0.2525118618
508	0.2524418023
509	0.2522230704
510	0.251910475
511	0.2517395562
512	0.2515955122
513	0.2513907385
514	0.2511067547
515	0.250993806
516	0.2508010853
517	0.2507858197
518	0.2507406094
519	0.2506624491
520	0.2505457521
521	0.2503519919
522	0.2501976375
523	0.2500069968
524	0.2499265784
525	0.2497998167
526	0.2497300109
527	0.2496163895
528	0.2493966313
529	0.2492526348
530	0.2490243772
531	0.2489467782
532	0.2486130446
533	0.2484950327
534	0.2484234531
535	0.2481932214
536	0.2478877829
537	0.2478104155
538	0.2477138414
539	0.2476542675
540	0.2473619332
541	0.247042353
542	0.2470246692
543	0.2470056326
544	0.246802249
545	0.2467345069
546	0.2466733596
547	0.2465300212
548	0.2464707996
549	0.2463624463
550	0.2461226149
551	0.2459285318
552	0.245637555
553	0.2455732042
554	0.2454938143
555	0.2454861319
556	0.2454626602
557	0.2454165821
558	0.2453209403
559	0.2452985749
560	0.2452901917
561	0.2450404941
562	0.24485826
563	0.2447601348
564	0.2445384117
565	0.2444577262
566	0.2441802701
567	0.2438789396
568	0.2436449184
569	0.2435289004
570	0.2434133689
571	0.2433227058
572	0.2432090602
573	0.2431113334
574	0.2429612192
575	0.2428906028
576	0.2427086513
577	0.2426146871
578	0.2424275787
579	0.2422359348
580	0.2420501049
581	0.2420028585
582	0.2419110144
583	0.2418028047
584	0.241687194
585	0.2415254849
586	0.2414982059
587	0.2411446341
588	0.2409942656
589	0.2409530494
590	0.2408612718
591	0.2407438656
592	0.2407114112
593	0.2406063664
594	0.2405143064
595	0.2403246395
596	0.2400626983
597	0.2400537238
598	0.2400311906
599	0.2399345996
600	0.2399014979
601	0.2397855586
602	0.2397034503
603	0.2396862698
604	0.2396695228
605	0.2396435917
606	0.2396326583
607	0.2393557884
608	0.2392999643
609	0.2391931037
610	0.2391342913
611	0.2390931155
612	0.238993884
613	0.2389098792
614	0.2388073871
615	0.238621148
616	0.2384306533
617	0.2382852022
618	0.2381012423
619	0.2379663401
620	0.2378249614
621	0.2376773422
